"","word","score","sentiment0"
"1797","warmth",2,"positive"
"1798","love",3,"positive"
"1799","fire",-2,"negative"
"1800","sweet",2,"positive"
"1801","love",3,"positive"
"1802","love",3,"positive"
"1803","sweet",2,"positive"
"1804","grand",3,"positive"
"1805","heavenly",4,"positive"
"1806","love",3,"positive"
"1807","love",3,"positive"
"1808","fan",3,"positive"
"1809","love",3,"positive"
"1810","jerk",-3,"negative"
"1811","favorite",2,"positive"
"1812","love",3,"positive"
"1813","grand",3,"positive"
"1814","amazing",4,"positive"
"1815","love",3,"positive"
"1816","hahaha",3,"positive"
"1817","share",1,"positive"
"1818","enjoy",2,"positive"
"1819","love",3,"positive"
"1820","amazing",4,"positive"
"1821","warm",1,"positive"
"1822","fantastic",4,"positive"
"1823","escape",-1,"negative"
"1824","love",3,"positive"
"1825","pay",-1,"negative"
"1826","save",2,"positive"
"1827","love",3,"positive"
"1828","love",3,"positive"
"1829","fresh",1,"positive"
"1830","haha",3,"positive"
"1831","amazing",4,"positive"
"1832","beautiful",3,"positive"
"1833","love",3,"positive"
"1834","nice",3,"positive"
"1835","warm",1,"positive"
"1836","worth",2,"positive"
"1837","love",3,"positive"
"1838","advantage",2,"positive"
"1839","natural",1,"positive"
"1840","warm",1,"positive"
"1841","escape",-1,"negative"
"1842","cute",2,"positive"
"1843","love",3,"positive"
"1844","fun",4,"positive"
"1845","recommend",2,"positive"
"1846","super",3,"positive"
"1847","nice",3,"positive"
"1848","love",3,"positive"
"1849","love",3,"positive"
"1850","matter",1,"positive"
"1851","haters",-3,"negative"
"1852","lol",3,"positive"
"1853","yeah",1,"positive"
"1854","accidentally",-2,"negative"
"1855","hope",2,"positive"
"1856","love",3,"positive"
"1857","warm",1,"positive"
"1858","top",2,"positive"
"1859","love",3,"positive"
"1860","nice",3,"positive"
"1861","love",3,"positive"
"1862","fun",4,"positive"
"1863","horrible",-3,"negative"
"1864","wonderful",4,"positive"
"1865","war",-2,"negative"
"1866","love",3,"positive"
"1867","warm",1,"positive"
"1868","amazing",4,"positive"
"1869","love",3,"positive"
"1870","perfect",3,"positive"
"1871","beautiful",3,"positive"
"1872","love",3,"positive"
"1873","enjoying",2,"positive"
"1874","agreed",1,"positive"
"1875","helps",2,"positive"
"1876","amazing",4,"positive"
"1877","love",3,"positive"
"1878","agreed",1,"positive"
"1879","warm",1,"positive"
"1880","love",3,"positive"
"1881","beautiful",3,"positive"
"1882","amazing",4,"positive"
"1883","love",3,"positive"
"1884","love",3,"positive"
"1885","friendly",2,"positive"
"1886","love",3,"positive"
"1887","awesome",4,"positive"
"1888","love",3,"positive"
